feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GGB6544	week	day8	-0.0833333333333594	0.0589255653145753	48	1	0.166665131964541	0.243221485114841
GGB6566	week	day12	-0.0833333333333333	0.0589255653165047	48	1	0.166665131978769	0.243221485114841
GGB6566	week	day4	-0.0833333333333333	0.0589255653165046	48	1	0.166665131975918	0.243221485114841
GGB6566	week	day8	-0.0833333333333333	0.0589255653165047	48	1	0.166665131975947	0.243221485114841
GGB6580	week	day12	0.511746560213574	0.356545303239914	48	4	0.160614991965571	0.243221485114841
GGB6580	week	day8	0.54546101788533	0.356545303239914	48	4	0.135584210095587	0.243221485114841
GGB6584	week	day12	-0.0833333333333286	0.0589255653151697	48	1	0.166665132039975	0.243221485114841
GGB6584	week	day4	-0.0833333333333286	0.0589255653151697	48	1	0.166665132036266	0.243221485114841
GGB6584	week	day8	-0.0833333333333286	0.0589255653151697	48	1	0.166665132041907	0.243221485114841
GGB6600	week	day12	-0.0833333333333363	0.0589255653157532	48	1	0.166665131988178	0.243221485114841
GGB6600	week	day4	-0.0833333333333363	0.0589255653157532	48	1	0.16666513198562	0.243221485114841
GGB6600	week	day8	-0.0833333333333363	0.0589255653157532	48	1	0.166665131991754	0.243221485114841
GGB6601	week	day4	-1.78305978570341	1.03005331666425	48	4	0.0927868471831119	0.243221485114841
GGB6606	group	R	-0.596929364463106	0.39637182639414	48	4	0.139382868762371	0.243221485114841
GGB6609	week	day12	-0.0833333333333333	0.0589255653140785	48	1	0.166665131984978	0.243221485114841
GGB6609	week	day4	-0.0833333333333333	0.0589255653140785	48	1	0.166665131977238	0.243221485114841
GGB6609	week	day8	-0.0833333333333333	0.0589255653140785	48	1	0.166665131983394	0.243221485114841
GGB6610	week	day12	-0.0833333333333002	0.0589255653154544	48	1	0.166665131994754	0.243221485114841
GGB6610	week	day4	-0.0833333333333002	0.0589255653154544	48	1	0.166665131993086	0.243221485114841
GGB6610	week	day8	-0.0833333333333002	0.0589255653154544	48	1	0.166665131990548	0.243221485114841
GGB6648	week	day12	-0.0833333333333475	0.0589255653166427	48	1	0.166665132018755	0.243221485114841
GGB6648	week	day4	-0.0833333333333475	0.0589255653166427	48	1	0.166665132017115	0.243221485114841
GGB6648	week	day8	-0.0833333333333475	0.0589255653166427	48	1	0.166665132018062	0.243221485114841
GGB71575	week	day12	-0.0833333333333286	0.0589255653143324	48	1	0.166665131977705	0.243221485114841
GGB71575	week	day4	-0.0833333333333286	0.0589255653143324	48	1	0.166665131977921	0.243221485114841
GGB71575	week	day8	-0.0833333333333286	0.0589255653143324	48	1	0.166665131978384	0.243221485114841
GGB71580	week	day12	-0.0833333333333523	0.058925565315134	48	1	0.166665132018296	0.243221485114841
GGB71580	week	day4	-0.0833333333333523	0.058925565315134	48	1	0.166665132017819	0.243221485114841
GGB71580	week	day8	-0.0833333333333523	0.058925565315134	48	1	0.166665132017819	0.243221485114841
GGB73496	week	day12	0.0833333333333333	0.0589255653144883	48	1	0.166665131975617	0.243221485114841
GGB74665	week	day12	-0.0833333333333429	0.0589255653152209	48	1	0.166665131972433	0.243221485114841
GGB74665	week	day4	-0.0833333333333429	0.0589255653152209	48	1	0.166665131973842	0.243221485114841
GGB74665	week	day8	-0.0833333333333429	0.0589255653152209	48	1	0.16666513197033	0.243221485114841
GGB74703	week	day12	-0.508815175109599	0.301274417933248	48	2	0.100672181673031	0.243221485114841
GGB74703	week	day4	-0.508815175109599	0.301274417933248	48	2	0.100672181676454	0.243221485114841
GGB74703	week	day8	-0.508815175109599	0.301274417933248	48	2	0.100672181669614	0.243221485114841
GGB781	week	day12	-1.02937711616857	0.710413288114191	48	2	0.156778942113295	0.243221485114841
GGB781	week	day8	-1.02937711616857	0.710413288114191	48	2	0.156778942112656	0.243221485114841
GGB8965	week	day12	-0.083333333333357	0.0589255653147959	48	1	0.166665131996475	0.243221485114841
GGB8965	week	day4	-0.083333333333357	0.0589255653147959	48	1	0.166665131993881	0.243221485114841
GGB8965	week	day8	-0.083333333333357	0.0589255653147959	48	1	0.166665132000219	0.243221485114841
GGB9047	week	day12	-0.0833333333333333	0.0589255653150029	48	1	0.166665131989786	0.243221485114841
GGB9047	week	day4	-0.0833333333333333	0.0589255653150029	48	1	0.166665131988477	0.243221485114841
GGB9047	week	day8	-0.0833333333333333	0.0589255653150029	48	1	0.166665131991203	0.243221485114841
GGB9051	week	day12	-0.0833333333333499	0.058925565316328	48	1	0.166665131994123	0.243221485114841
GGB9051	week	day4	-0.0833333333333499	0.058925565316328	48	1	0.166665131996905	0.243221485114841
GGB9051	week	day8	-0.0833333333333499	0.058925565316328	48	1	0.166665131994108	0.243221485114841
GGB9054	week	day12	-0.083333333333331	0.0589255653152304	48	1	0.16666513199243	0.243221485114841
GGB9054	week	day4	-0.083333333333331	0.0589255653152304	48	1	0.166665131991319	0.243221485114841
GGB9054	week	day8	-0.083333333333331	0.0589255653152304	48	1	0.166665131994793	0.243221485114841
GGB9063	group	R	0.655508169373227	0.445008930316252	48	5	0.148027829680726	0.243221485114841
GGB9064	week	day12	-0.615388654186244	0.372382898398946	48	2	0.105702931208539	0.243221485114841
GGB9064	week	day4	-0.615388654186244	0.372382898398946	48	2	0.105702931208539	0.243221485114841
GGB9064	week	day8	-0.615388654186244	0.372382898398946	48	2	0.105702931208539	0.243221485114841
GGB9065	week	day12	-0.0833333333333121	0.0589255653157474	48	1	0.16666513199381	0.243221485114841
GGB9065	week	day4	-0.0833333333333121	0.0589255653157474	48	1	0.166665131989302	0.243221485114841
GGB9065	week	day8	-0.0833333333333121	0.0589255653157474	48	1	0.166665131993544	0.243221485114841
GGB9067	week	day12	-0.0833333333333523	0.0589255653160825	48	1	0.166665132051582	0.243221485114841
GGB9067	week	day4	-0.0833333333333523	0.0589255653160824	48	1	0.166665132047343	0.243221485114841
GGB9067	week	day8	-0.0833333333333523	0.0589255653160825	48	1	0.166665132050168	0.243221485114841
GGB9071	week	day12	-0.0833333333333357	0.0589255653149249	48	1	0.166665131965692	0.243221485114841
GGB9071	week	day4	-0.0833333333333357	0.0589255653149249	48	1	0.166665131965252	0.243221485114841
GGB9071	week	day8	-0.0833333333333357	0.0589255653149249	48	1	0.166665131967101	0.243221485114841
GGB9072	week	day12	-0.0833333333333404	0.0589255653162776	48	1	0.166665131994823	0.243221485114841
