,179BR2A00001,179BR2A00003,179BR2A00007,179BR2A00011,179BR2B00001,179BR2B00003,179BR2B00007,179BR2B00011,179BR2C00001,179BR2C00003,179BR2C00007,179BR2C00011,179BR2D00001,179BR2D00003,179BR2D00007,179BR2D00011,179BR2E00001,179BR2E00003,179BR2E00007,179BR2E00011,179BR2F00001,179BR2F00003,179BR2F00007,179BR2F00011,179BR3A00001,179BR3A00003,179BR3A00007,179BR3A00011,179BR3B00001,179BR3B00003,179BR3B00007,179BR3B00011,179BR3C00001,179BR3C00003,179BR3C00007,179BR3C00011,179BR3D00001,179BR3D00003,179BR3D00007,179BR3D00011,179BR3E00001,179BR3E00003,179BR3E00007,179BR3E00011,179BR3F00001,179BR3F00003,179BR3F00007,179BR3F00011
179BR2A00001,0.0,0.924140310758737,0.9366940938532963,0.9406874698387261,0.7847001692199235,0.9384113700772985,0.9338707298282818,0.9408445587460683,0.7337984272710352,0.9617371143496989,0.9671991166959147,0.9619595690466769,0.6656666658318573,0.9620963398752691,0.9656696122081957,0.9478309815839138,0.7447003669554584,0.9506797225611033,0.9556693089647081,0.9684643853954015,0.6260880892914024,0.9582743555851649,0.9524043476179773,0.9434364986384989,0.5644380397626255,0.9015330089901947,0.8972142797728767,0.8910450310350377,0.7045420115060563,0.9140590305746873,0.9158352180598225,0.958454303138991,0.7302212034840951,0.9107350237981607,0.9166096646551448,0.9609984152847441,0.7746360887599204,0.9239689479186125,0.8912448580692586,0.8853507229933647,0.6589485118309059,0.8743932230511613,0.923402519018441,0.9505918828466888,0.6881371241049673,0.9133584842858047,0.8952286875739078,0.9377135793937756
179BR2A00003,0.924140310758737,0.0,0.2705524134328004,0.44619679090055975,0.7352526207650846,0.5536443124487047,0.6013380986077632,0.6459670113552388,0.6968884338856747,0.5029785240899018,0.5810281237421204,0.6424336560089107,0.8977237852746968,0.45109669174923567,0.49880463489453314,0.5605583355726733,0.7681227293469044,0.49108964478042705,0.582868412424019,0.6211590510401661,0.9017132693918744,0.4981908658051426,0.48859149746411,0.5312693733383741,0.8893813004707544,0.47958285323012656,0.47957726399128026,0.5394796054978115,0.8605308158724696,0.29546292178697875,0.39207011464220726,0.4111612170442821,0.9035343233841091,0.6356074076915139,0.6109369718409107,0.7574476793897117,0.9314002093504428,0.6656810432601956,0.6037499853733408,0.5473852464716495,0.9536788065325627,0.7002048884494829,0.6641848903337935,0.6888219501735396,0.9616363984953931,0.6243229833157501,0.5748544622484443,0.660551948181833
179BR2A00007,0.9366940938532963,0.2705524134328004,0.0,0.2839548166084115,0.7364226822765017,0.5405195448670465,0.528190988751092,0.5392919330550373,0.7084813201608376,0.48731074521940193,0.5157480262323602,0.4886049469806094,0.8897947487245654,0.5105665844375779,0.4753694812166237,0.47989971015525984,0.7724871091092118,0.5497117060407377,0.5432850554472755,0.49924880455469856,0.8960150999069539,0.540567891325435,0.48914175224026923,0.54084934617426,0.8972063255900838,0.5629256899640048,0.44989643052463735,0.5080352773914149,0.8590341178344804,0.3353229112834107,0.31905068566242717,0.4111373896135548,0.9213923340114099,0.6786973409062872,0.6510849974974325,0.7627566826202805,0.950300529030035,0.706690043981579,0.5760491102169917,0.45542347879038786,0.9558465452826809,0.8370553294614568,0.6721300374084056,0.696119748531047,0.9627816120339988,0.6706301663620406,0.5077780712598284,0.5879890296000347
179BR2A00011,0.9406874698387261,0.44619679090055975,0.2839548166084115,0.0,0.7966931873468764,0.644217098268213,0.6190144623942067,0.6067126870342487,0.7913113432810815,0.6485397152393135,0.6348046328450055,0.5035264696896383,0.8934411029668755,0.6522153399360282,0.6215401895545842,0.5389239948732922,0.8052117639970654,0.655123587345946,0.6546214883661365,0.5621894646340428,0.8991708252201042,0.6571578890050204,0.6011437108084646,0.5844791017418617,0.9128238038672379,0.6781579228643142,0.5762452922080662,0.545454355079097,0.8663001557781845,0.46022003579387927,0.45009894178080606,0.44353295158701694,0.9382326557591486,0.7715111783019918,0.6885829291997005,0.7417705853412563,0.9706033450554894,0.7770257038761869,0.6465829998879056,0.5756415269649087,0.9571841367158015,0.818820566368422,0.7050444468136962,0.7148870191046782,0.9619852080168184,0.7512166143273696,0.5926804988651493,0.6151591310337695
179BR2B00001,0.7847001692199235,0.7352526207650846,0.7364226822765017,0.7966931873468764,0.0,0.6193178778408385,0.7268311923580124,0.7829635413457462,0.47969441997234813,0.7314048026874544,0.759575656559707,0.7863644716445475,0.7310146427537028,0.66578211626625,0.6750468320812698,0.6940595892871723,0.5670392133540461,0.7593089157581205,0.816868281446013,0.8232212920849682,0.6621022929850016,0.7676471992653106,0.7321204206996633,0.7178481039464998,0.6052213934970655,0.7310079814858605,0.7353716892286146,0.7234111836900218,0.46648809607144665,0.7241860425503855,0.757912381936,0.7718116995520711,0.6332096976871119,0.7429355329080964,0.7443108516065501,0.8164344299535529,0.7757642626273773,0.6975634387005006,0.7451459248381982,0.7725204030027203,0.7315958448637072,0.8232284477232034,0.8429788378794538,0.8779789755957949,0.8409813776163192,0.7449454433902979,0.7382402710293288,0.8377648576236006
179BR2B00003,0.9384113700772985,0.5536443124487047,0.5405195448670465,0.644217098268213,0.6193178778408385,0.0,0.2432511630624029,0.3466461762246129,0.6684422099914087,0.4325791489133095,0.4230164456908315,0.5153792983637113,0.8558879598147441,0.3696254025651167,0.41560386332767263,0.5707497575526055,0.7241493214178519,0.3229555210114774,0.48609254097129373,0.5529453666666666,0.8767015748046587,0.5629769442614132,0.5868898962056835,0.6546207285213806,0.8853846613726661,0.4534372877864409,0.44747327016844846,0.5189214012614272,0.8259959458450881,0.5940736787159637,0.6205306557285768,0.6730611124828723,0.8901521450760729,0.6513527880636619,0.47629465319717473,0.657735144742162,0.9130427724638152,0.5464515306021258,0.5021991662268339,0.6068509393149061,0.9025434969656188,0.6741724005741271,0.6782731494196755,0.7456685418110482,0.9664042293967743,0.6187966046991513,0.5521662119584471,0.6958406956961627
179BR2B00007,0.9338707298282818,0.6013380986077632,0.528190988751092,0.6190144623942067,0.7268311923580124,0.2432511630624029,0.0,0.17110743244518004,0.7522484556870193,0.39415898264229265,0.34337886317954003,0.43281127825187854,0.9057789888244848,0.39414301241766303,0.3701583864278702,0.5505016251482191,0.7672985955434816,0.3768763792292127,0.40190678660310697,0.47203517733040185,0.8889331995677618,0.5635266999784976,0.5278015146330544,0.6012299581833574,0.8873279742544474,0.5287899666666667,0.44344535014986364,0.5469450742175818,0.8585643998714038,0.6253453167127083,0.5936077531202585,0.6905568572235239,0.9113084630451931,0.7412486804162268,0.5716726762230236,0.6877902364244723,0.9577498396708568,0.5849720100772688,0.49003374449043935,0.5127975559871149,0.9049401432136197,0.7016298811952462,0.6350706153239177,0.7037266678985553,0.9546761905865095,0.7100381516730259,0.5552229815923394,0.5939611724275095
179BR2B00011,0.9408445587460683,0.6459670113552388,0.5392919330550373,0.6067126870342487,0.7829635413457462,0.3466461762246129,0.17110743244518004,0.0,0.8067130002776226,0.40249433301293414,0.3141520874406544,0.44066609618297353,0.9112850927871818,0.40483423419186154,0.3764006827052122,0.5497087596683379,0.8185660287111558,0.44829746666666676,0.4021477398568174,0.4480571310600011,0.8986576798789278,0.6528760740998871,0.5565244724965793,0.6116259869865599,0.9063813368485104,0.6128170462394318,0.5048722241067588,0.5538304556418104,0.8662348706516164,0.6799243346590997,0.6185476333333332,0.7141403903357104,0.9168530347936629,0.8249672141568313,0.67937383460405,0.7454283048524207,0.965214139710741,0.6745770070057843,0.5339261809233761,0.4969362089971549,0.923536482955083,0.7326310795084229,0.6533102577816239,0.6969511787906564,0.9548907619575073,0.7844159045887873,0.609578176488002,0.5250604779237221
179BR2C00001,0.7337984272710352,0.6968884338856747,0.7084813201608376,0.7913113432810815,0.47969441997234813,0.6684422099914087,0.7522484556870193,0.8067130002776226,0.0,0.6990081224360714,0.7408801063081601,0.7631457735254815,0.7142937812949782,0.6526741220600413,0.6726387265568362,0.6960226540188781,0.5358238236822681,0.7348584782899621,0.7848440330365661,0.8028013513073105,0.7167106000546578,0.6841446825232153,0.68001782701515,0.6988542648367879,0.6170943098084846,0.6368173344493374,0.6513202284216307,0.6599741037478084,0.6153122311844376,0.6948972743167774,0.7364006911535455,0.7664044854476172,0.750069334925657,0.6664492002625206,0.7437447553938528,0.8040505444462017,0.7749145789365737,0.6450375582095277,0.7266696035948751,0.7488213319762578,0.6934583767241662,0.7699424346149403,0.8145677128753994,0.8794557970143182,0.8216539318103191,0.7010759517515391,0.6894306763786344,0.801457132440266
179BR2C00003,0.9617371143496989,0.5029785240899018,0.48731074521940193,0.6485397152393135,0.7314048026874544,0.4325791489133095,0.39415898264229265,0.40249433301293414,0.6990081224360714,0.0,0.20618944246330992,0.3257095960610943,0.8396202003605163,0.30882527331308113,0.31049310797944885,0.4976228747211442,0.7379275208732456,0.300300838220235,0.39838199153271153,0.47626583887825447,0.8866780330908274,0.5137083172616393,0.5209074215381833,0.5620766097676257,0.8907162919158661,0.4882655757201313,0.4283364890841391,0.5403748464878952,0.8167932007038654,0.5500276127579025,0.5567717695448344,0.672961951852599,0.9042771349592539,0.7327753122403204,0.6877459530898421,0.785009843581823,0.8835548128053801,0.569810086636754,0.46992417428625965,0.47891700198358944,0.9279272741909375,0.7299044971998142,0.6330059114679583,0.6757347804645818,0.9368007731186343,0.7004247517765465,0.5618266793323528,0.6026806109998706
